category,operation,keys,difficulty
実行・デバッグ,マクロの実行/続行,F5,1
実行・デバッグ,ステップイン（1行ずつ実行）,F8,1
実行・デバッグ,ステップオーバー,Shift+F8,2
実行・デバッグ,ステップアウト,Ctrl+Shift+F8,3
実行・デバッグ,カーソル行まで実行,Ctrl+F8,2
実行・デバッグ,リセット（実行停止）,Ctrl+Break,2
実行・デバッグ,ブレークポイントの設定/解除,F9,1
実行・デバッグ,すべてのブレークポイントを解除,Ctrl+Shift+F9,3
実行・デバッグ,デザインモードの切替,Ctrl+Shift+F5,3
編集,コピー,Ctrl+C,1
編集,貼り付け,Ctrl+V,1
編集,切り取り,Ctrl+X,1
編集,元に戻す,Ctrl+Z,1
編集,やり直し,Ctrl+Y,1
編集,検索,Ctrl+F,1
編集,置換,Ctrl+H,2
編集,次を検索,F3,1
編集,前を検索,Shift+F3,2
編集,全選択,Ctrl+A,1
編集,行の削除,Ctrl+Y,2
編集,インデントを追加,Tab,1
編集,インデントを削除,Shift+Tab,1
編集,入力候補の表示（IntelliSense）,Ctrl+Space,2
編集,クイックヒント（引数情報）,Ctrl+I,2
編集,定数の一覧表示,Ctrl+J,2
編集,単語の補完,Ctrl+Space,2
ナビゲーション,定義に移動,Shift+F2,2
ナビゲーション,呼び出し元に戻る,Ctrl+Shift+F2,3
ナビゲーション,オブジェクトブラウザー,F2,1
ナビゲーション,プロジェクトエクスプローラー,Ctrl+R,1
ナビゲーション,プロパティウィンドウ,F4,1
ナビゲーション,コードウィンドウ,F7,1
ナビゲーション,オブジェクト（フォーム）の表示,Shift+F7,2
ナビゲーション,イミディエイトウィンドウ,Ctrl+G,1
ナビゲーション,ローカルウィンドウの表示,メニュー操作,3
ナビゲーション,ウォッチウィンドウの表示,メニュー操作,3
ウィンドウ操作,次のウィンドウに切替,Ctrl+F6,2
ウィンドウ操作,前のウィンドウに切替,Ctrl+Shift+F6,3
ウィンドウ操作,ウィンドウを閉じる,Ctrl+F4,2
ウィンドウ操作,プロシージャの表示切替,Ctrl+PageDown,3
ウィンドウ操作,モジュール全体の表示切替,Ctrl+PageUp,3
選択,行の選択,Home→Shift+ArrowDown,3
選択,単語の選択,Ctrl+Shift+ArrowRight,2
選択,行末まで選択,Shift+End,2
選択,行頭まで選択,Shift+Home,2
ブックマーク,ブックマークの設定/解除,Ctrl+F2,2
ブックマーク,次のブックマークに移動,F2,2
ブックマーク,前のブックマークに移動,Shift+F2,2
その他,ウォッチ式の追加,Ctrl+W,2
その他,コメントブロック,メニュー操作,2
その他,コメント解除ブロック,メニュー操作,2
その他,VBEを閉じてExcelに戻る,Alt+Q,1
その他,VBEを開く（Excelから）,Alt+F11,1
