category,operation,keys,difficulty
タブ管理,新しいタブを開く,Ctrl+T,1
タブ管理,タブを閉じる,Ctrl+W,1
タブ管理,閉じたタブを復元,Ctrl+Shift+T,1
タブ管理,新しいウィンドウ,Ctrl+N,1
タブ管理,シークレットウィンドウ,Ctrl+Shift+N,2
タブ管理,タブを固定/解除,右クリックメニュー,3
ナビゲーション,戻る,Alt+ArrowLeft,1
ナビゲーション,進む,Alt+ArrowRight,1
ナビゲーション,ページの先頭に移動,Home,1
ナビゲーション,ページの末尾に移動,End,1
ナビゲーション,ページを少し上にスクロール,PageUp,1
ナビゲーション,ページを少し下にスクロール,PageDown,1
ナビゲーション,ページを再読み込み,F5,1
ナビゲーション,強制再読み込み,Ctrl+Shift+R,2
ナビゲーション,アドレスバーに移動,Alt+D,1
ページ操作,ページ内検索,Ctrl+F,1
ページ操作,印刷,Ctrl+P,1
ページ操作,保存,Ctrl+S,2
ページ操作,ズームイン,Ctrl+Shift+=,2
ページ操作,ズームアウト,Ctrl+-,2
ページ操作,ズームリセット,Ctrl+0,2
ページ操作,全画面表示切替,F11,1
テキスト,コピー,Ctrl+C,1
テキスト,貼り付け,Ctrl+V,1
テキスト,切り取り,Ctrl+X,1
テキスト,全選択,Ctrl+A,1
テキスト,元に戻す,Ctrl+Z,1
テキスト,やり直し,Ctrl+Shift+Z,2
ブックマーク,ブックマークに追加,Ctrl+D,1
ブックマーク,ブックマークバーの表示切替,Ctrl+Shift+B,2
ブックマーク,ブックマークマネージャー,Ctrl+Shift+O,2
その他,ダウンロード一覧を開く,Ctrl+J,2
その他,履歴を開く,Ctrl+H,2
その他,閲覧履歴の削除,Ctrl+Shift+Delete,2
その他,デベロッパーツール,F12,2
その他,ソースの表示,Ctrl+U,3
