category,operation,keys,difficulty
基本操作,コピー,Ctrl+C,1
基本操作,貼り付け,Ctrl+V,1
基本操作,切り取り,Ctrl+X,1
基本操作,元に戻す,Ctrl+Z,1
基本操作,やり直し,Ctrl+Y,1
基本操作,上書き保存,Ctrl+S,1
基本操作,名前を付けて保存,F12,1
基本操作,印刷,Ctrl+P,1
基本操作,検索,Ctrl+F,1
基本操作,置換,Ctrl+H,2
基本操作,全選択,Ctrl+A,1
セル編集,セルの編集モード,F2,1
セル編集,セル内で改行,Alt+Enter,2
セル編集,今日の日付を入力,Ctrl+;,2
セル編集,現在の時刻を入力,Ctrl+:,2
セル編集,上のセルをコピー,Ctrl+D,2
セル編集,左のセルをコピー,Ctrl+R,2
セル編集,セルの削除,Delete,1
セル編集,行全体を選択,Shift+Space,2
セル編集,列全体を選択,Ctrl+Space,2
書式設定,セルの書式設定を表示,Ctrl+1,2
書式設定,太字,Ctrl+B,1
書式設定,斜体,Ctrl+I,1
書式設定,下線,Ctrl+U,1
書式設定,取り消し線,Ctrl+5,2
書式設定,標準の書式,Ctrl+Shift+~,3
書式設定,通貨の書式,Ctrl+Shift+$,3
書式設定,パーセントの書式,Ctrl+Shift+%,2
書式設定,桁区切りの書式,Ctrl+Shift+!,3
ナビゲーション,シートの先頭に移動,Ctrl+Home,2
ナビゲーション,シートの末尾に移動,Ctrl+End,2
ナビゲーション,次のシートに移動,Ctrl+PageDown,2
ナビゲーション,前のシートに移動,Ctrl+PageUp,2
ナビゲーション,データの端に移動（下）,Ctrl+ArrowDown,2
ナビゲーション,データの端に移動（右）,Ctrl+ArrowRight,2
ナビゲーション,データの端に移動（上）,Ctrl+ArrowUp,2
ナビゲーション,データの端に移動（左）,Ctrl+ArrowLeft,2
その他,VBEを表示,Alt+F11,3
その他,新しいシートを挿入,Shift+F11,2
その他,数式バーの展開/折りたたみ,Ctrl+Shift+U,3
その他,選択範囲にフィルターを適用,Ctrl+Shift+L,3
その他,ハイパーリンクの挿入,Ctrl+K,2
その他,名前の定義,Ctrl+F3,3
その他,グラフの挿入,Alt+F1,3
