category,operation,keys,difficulty
基本操作,保存,Ctrl+S,1
基本操作,元に戻す,Ctrl+Z,1
基本操作,やり直し,Ctrl+Y,1
基本操作,コピー,Ctrl+C,1
基本操作,貼り付け,Ctrl+V,1
基本操作,切り取り,Ctrl+X,1
基本操作,全選択,Ctrl+A,1
基本操作,プロジェクトを実行,Ctrl+R,2
編集,行の削除,Ctrl+Shift+K,2
編集,行を上に移動,Alt+ArrowUp,2
編集,行を下に移動,Alt+ArrowDown,2
編集,行を上にコピー,Shift+Alt+ArrowUp,3
編集,行を下にコピー,Shift+Alt+ArrowDown,3
編集,下に空行を挿入,Ctrl+Enter,2
編集,上に空行を挿入,Ctrl+Shift+Enter,2
編集,行のコメントアウト切替,Ctrl+/,2
編集,インデントを追加,Tab,1
編集,インデントを削除,Shift+Tab,1
編集,入力候補の表示（自動補完）,Ctrl+Space,2
編集,行の末尾まで削除,Ctrl+Shift+Backspace,3
編集,選択範囲を大文字に変換,Ctrl+Shift+U,3
編集,コードの整形（フォーマット）,Ctrl+Shift+I,3
ナビゲーション,指定行に移動,Ctrl+G,2
ナビゲーション,行の先頭に移動,Home,1
ナビゲーション,行の末尾に移動,End,1
ナビゲーション,ファイルの先頭に移動,Ctrl+Home,2
ナビゲーション,ファイルの末尾に移動,Ctrl+End,2
ナビゲーション,対応する括弧に移動,Ctrl+Shift+\,3
ナビゲーション,次のエラーに移動,F8,2
ナビゲーション,前のエラーに移動,Shift+F8,3
ナビゲーション,定義に移動,F12,2
ナビゲーション,1単語右に移動,Ctrl+ArrowRight,2
ナビゲーション,1単語左に移動,Ctrl+ArrowLeft,2
選択,1単語ずつ選択（右）,Ctrl+Shift+ArrowRight,2
選択,1単語ずつ選択（左）,Ctrl+Shift+ArrowLeft,2
選択,行の先頭まで選択,Shift+Home,2
選択,行の末尾まで選択,Shift+End,2
選択,行を選択,Ctrl+L,2
選択,同じ単語を次に選択,Ctrl+D,2
選択,同じ単語を全て選択,Ctrl+Shift+L,3
検索,検索,Ctrl+F,1
検索,置換,Ctrl+H,2
検索,次の検索結果に移動,F3,2
検索,前の検索結果に移動,Shift+F3,2
検索,ファイル内を検索,Ctrl+Shift+F,2
デバッグ,デバッグを実行,Ctrl+Shift+D,2
デバッグ,ブレークポイントの設定/解除,F9,2
デバッグ,ステップイン,F11,2
デバッグ,ステップオーバー,F10,2
デバッグ,ステップアウト,Shift+F11,3
デバッグ,実行を停止,Shift+F5,2
表示,サイドバーの表示切替,Ctrl+Shift+E,3
表示,ズームイン,Ctrl+=,2
表示,ズームアウト,Ctrl+-,2
表示,コードの折りたたみ,Ctrl+Shift+[,3
表示,コードの展開,Ctrl+Shift+],3
