category,operation,keys,difficulty
基本操作,コピー,Ctrl+C,1
基本操作,貼り付け,Ctrl+V,1
基本操作,切り取り,Ctrl+X,1
基本操作,元に戻す,Ctrl+Z,1
基本操作,やり直し,Ctrl+Y,1
基本操作,検索,Ctrl+F,1
基本操作,検索と置換,Ctrl+H,2
基本操作,全選択,Ctrl+A,1
基本操作,印刷,Ctrl+P,1
基本操作,値のみ貼り付け,Ctrl+Shift+V,2
基本操作,ファイルを開く,Ctrl+O,1
基本操作,リンクを挿入,Ctrl+K,2
セル編集,セルの編集モード,F2,1
セル編集,セル内で改行,Alt+Enter,2
セル編集,入力を確定して下に移動,Enter,1
セル編集,入力を確定して上に移動,Shift+Enter,2
セル編集,入力を確定して右に移動,Tab,1
セル編集,入力を確定して左に移動,Shift+Tab,2
セル編集,入力をキャンセル,Escape,1
セル編集,セルの内容をクリア,Delete,1
セル編集,セルにメモを挿入,Shift+F2,2
セル編集,セルにコメントを挿入,Ctrl+Alt+M,3
セル編集,現在の日付を入力,Ctrl+;,2
セル編集,現在の時刻を入力,Ctrl+Shift+;,2
セル編集,配列数式を入力,Ctrl+Shift+Enter,3
選択,行全体を選択,Shift+Space,2
選択,列全体を選択,Ctrl+Space,2
選択,選択範囲を1セル拡張（下）,Shift+ArrowDown,1
選択,選択範囲を1セル拡張（右）,Shift+ArrowRight,1
選択,選択範囲を1セル拡張（上）,Shift+ArrowUp,1
選択,選択範囲を1セル拡張（左）,Shift+ArrowLeft,1
選択,データの端まで選択（下）,Ctrl+Shift+ArrowDown,2
選択,データの端まで選択（右）,Ctrl+Shift+ArrowRight,2
選択,データの端まで選択（上）,Ctrl+Shift+ArrowUp,2
選択,データの端まで選択（左）,Ctrl+Shift+ArrowLeft,2
選択,先頭まで選択,Ctrl+Shift+Home,3
選択,末尾まで選択,Ctrl+Shift+End,3
書式設定,太字,Ctrl+B,1
書式設定,斜体,Ctrl+I,1
書式設定,下線,Ctrl+U,1
書式設定,取り消し線,Alt+Shift+5,2
書式設定,中央揃え,Ctrl+Shift+E,2
書式設定,左揃え,Ctrl+Shift+L,2
書式設定,右揃え,Ctrl+Shift+R,2
書式設定,上罫線を適用,Alt+Shift+1,3
書式設定,右罫線を適用,Alt+Shift+2,3
書式設定,下罫線を適用,Alt+Shift+3,3
書式設定,左罫線を適用,Alt+Shift+4,3
書式設定,罫線を削除,Alt+Shift+6,3
書式設定,外枠の罫線を適用,Alt+Shift+7,3
書式設定,日付の書式,Ctrl+Shift+3,3
書式設定,時刻の書式,Ctrl+Shift+2,3
書式設定,通貨の書式,Ctrl+Shift+4,3
書式設定,パーセントの書式,Ctrl+Shift+5,2
書式設定,小数点の書式,Ctrl+Shift+1,3
書式設定,書式をクリア,Ctrl+\,3
ナビゲーション,シートの先頭に移動,Ctrl+Home,2
ナビゲーション,シートの末尾に移動,Ctrl+End,2
ナビゲーション,データの端に移動（下）,Ctrl+ArrowDown,2
ナビゲーション,データの端に移動（右）,Ctrl+ArrowRight,2
ナビゲーション,データの端に移動（上）,Ctrl+ArrowUp,2
ナビゲーション,データの端に移動（左）,Ctrl+ArrowLeft,2
ナビゲーション,次のシートに移動,Ctrl+PageDown,2
ナビゲーション,前のシートに移動,Ctrl+PageUp,2
ナビゲーション,シート一覧を表示,Alt+Shift+K,3
行・列操作,行を上に挿入,Ctrl+Alt+Shift+ArrowUp,3
行・列操作,行を下に挿入,Ctrl+Alt+Shift+ArrowDown,3
行・列操作,列を左に挿入,Ctrl+Alt+Shift+ArrowLeft,3
行・列操作,列を右に挿入,Ctrl+Alt+Shift+ArrowRight,3
行・列操作,行を削除,Ctrl+Alt+-,3
行・列操作,行を非表示,Ctrl+Alt+9,3
行・列操作,行を再表示,Ctrl+Shift+9,3
行・列操作,列を非表示,Ctrl+Alt+0,3
行・列操作,列を再表示,Ctrl+Shift+0,3
行・列操作,行をグループ化,Alt+Shift+ArrowRight,3
行・列操作,行のグループ化を解除,Alt+Shift+ArrowLeft,3
数式,数式バーの展開/折りたたみ,Ctrl+Shift+U,3
数式,数式の表示/非表示,Ctrl+`,3
数式,SUM関数を挿入,Alt+=,2
その他,メニューを開く（スプレッドシート）,Alt+/,2
その他,フィルターの切替,Ctrl+Shift+L,3
その他,キーボードショートカット一覧,Ctrl+/,2
その他,データの入力規則,Alt+D,3
その他,条件付き書式,Alt+O,3
