category,operation,keys,difficulty
基本操作,コピー,Ctrl+C,1
基本操作,貼り付け,Ctrl+V,1
基本操作,切り取り,Ctrl+X,1
基本操作,元に戻す,Ctrl+Z,1
基本操作,やり直し,Ctrl+Y,1
基本操作,上書き保存,Ctrl+S,1
基本操作,印刷,Ctrl+P,1
基本操作,検索,Ctrl+F,1
基本操作,置換,Ctrl+H,2
基本操作,全選択,Ctrl+A,1
スライド操作,新しいスライドの追加,Ctrl+M,2
スライド操作,スライドショー開始（最初から）,F5,1
スライド操作,スライドショー開始（現在から）,Shift+F5,2
スライド操作,スライドの複製,Ctrl+D,2
スライド操作,スライドショー終了,Escape,1
書式設定,太字,Ctrl+B,1
書式設定,斜体,Ctrl+I,1
書式設定,下線,Ctrl+U,1
書式設定,中央揃え,Ctrl+E,2
書式設定,左揃え,Ctrl+L,1
書式設定,右揃え,Ctrl+R,2
書式設定,フォントサイズを大きく,Ctrl+Shift+>,2
書式設定,フォントサイズを小さく,Ctrl+Shift+<,2
書式設定,グループ化,Ctrl+G,2
書式設定,グループ化解除,Ctrl+Shift+G,2
オブジェクト,オブジェクトを前面へ,Ctrl+Shift+],3
オブジェクト,オブジェクトを背面へ,Ctrl+Shift+[,3
ナビゲーション,次のスライドに移動,PageDown,1
ナビゲーション,前のスライドに移動,PageUp,1
その他,ハイパーリンクの挿入,Ctrl+K,2
その他,名前を付けて保存,F12,1
