category,operation,keys,difficulty
基本操作,コピー,Ctrl+C,1
基本操作,貼り付け,Ctrl+V,1
基本操作,切り取り,Ctrl+X,1
基本操作,元に戻す,Ctrl+Z,1
基本操作,やり直し,Ctrl+Y,1
基本操作,上書き保存,Ctrl+S,1
基本操作,全選択,Ctrl+A,1
基本操作,検索,Ctrl+F,1
基本操作,置換,Ctrl+H,2
ファイル操作,新しいファイルを開く,Ctrl+N,1
ファイル操作,ファイルを開く,Ctrl+O,1
ファイル操作,サイドバーのファイルツリー表示,Ctrl+B,1
ファイル操作,タブを閉じる,Ctrl+W,1
ファイル操作,設定を開く,Ctrl+Comma,2
編集,行のコピー（選択なし時）,Ctrl+C,1
編集,行の削除,Ctrl+Shift+K,2
編集,行を上に移動,Alt+ArrowUp,2
編集,行を下に移動,Alt+ArrowDown,2
編集,行を上にコピー,Shift+Alt+ArrowUp,2
編集,行を下にコピー,Shift+Alt+ArrowDown,2
編集,下に空行を挿入,Ctrl+Enter,2
編集,インデント追加,Tab,1
編集,インデント削除,Shift+Tab,1
編集,行のコメントアウト切替,Ctrl+/,2
編集,ブロックコメント切替,Shift+Alt+A,3
マルチカーソル,カーソルを上に追加,Ctrl+Alt+ArrowUp,3
マルチカーソル,カーソルを下に追加,Ctrl+Alt+ArrowDown,3
マルチカーソル,同じ単語を次に選択,Ctrl+D,2
マルチカーソル,同じ単語を全て選択,Ctrl+Shift+L,3
ナビゲーション,ファイルを素早く開く,Ctrl+P,1
ナビゲーション,コマンドパレット,Ctrl+Shift+P,1
ナビゲーション,指定行に移動,Ctrl+G,2
ナビゲーション,定義に移動,F12,2
ナビゲーション,シンボル検索,Ctrl+Shift+O,2
ナビゲーション,問題パネルを開く,Ctrl+Shift+M,2
ターミナル,ターミナルの表示切替,Ctrl+`,2
表示,ズームイン,Ctrl+=,2
表示,ズームアウト,Ctrl+-,2
表示,サイドバー表示切替,Ctrl+B,1
