category,operation,keys,difficulty
ウィンドウ操作,ウィンドウを最大化,Win+ArrowUp,1
ウィンドウ操作,ウィンドウを左半分にスナップ,Win+ArrowLeft,1
ウィンドウ操作,ウィンドウを右半分にスナップ,Win+ArrowRight,1
ウィンドウ操作,ウィンドウを最小化,Win+ArrowDown,1
ウィンドウ操作,全ウィンドウを最小化,Win+D,1
ウィンドウ操作,アプリの切替,Alt+Tab,1
ウィンドウ操作,タスクビュー,Win+Tab,2
ウィンドウ操作,ウィンドウを閉じる,Alt+F4,1
システム,タスクマネージャー,Ctrl+Shift+Escape,2
システム,エクスプローラーを開く,Win+E,1
システム,設定を開く,Win+I,1
システム,ロック画面,Win+L,1
システム,スクリーンショット（全画面）,PrintScreen,1
システム,スクリーンショット（範囲選択）,Win+Shift+S,2
システム,スクリーンショット（ウィンドウ）,Alt+PrintScreen,2
システム,クリップボード履歴,Win+V,2
システム,絵文字パネル,Win+.,2
システム,ファイル名を指定して実行,Win+R,2
デスクトップ,仮想デスクトップの追加,Ctrl+Win+D,3
デスクトップ,仮想デスクトップの切替（右）,Ctrl+Win+ArrowRight,3
デスクトップ,仮想デスクトップの切替（左）,Ctrl+Win+ArrowLeft,3
デスクトップ,仮想デスクトップを閉じる,Ctrl+Win+F4,3
テキスト,全選択,Ctrl+A,1
テキスト,コピー,Ctrl+C,1
テキスト,貼り付け,Ctrl+V,1
テキスト,切り取り,Ctrl+X,1
テキスト,元に戻す,Ctrl+Z,1
テキスト,やり直し,Ctrl+Y,1
