category,operation,keys,difficulty
基本操作,コピー,Ctrl+C,1
基本操作,貼り付け,Ctrl+V,1
基本操作,切り取り,Ctrl+X,1
基本操作,元に戻す,Ctrl+Z,1
基本操作,やり直し,Ctrl+Y,1
基本操作,上書き保存,Ctrl+S,1
基本操作,名前を付けて保存,F12,1
基本操作,印刷,Ctrl+P,1
基本操作,全選択,Ctrl+A,1
基本操作,検索,Ctrl+F,1
基本操作,置換,Ctrl+H,2
書式設定,太字,Ctrl+B,1
書式設定,斜体,Ctrl+I,1
書式設定,下線,Ctrl+U,1
書式設定,フォントサイズを大きく,Ctrl+Shift+>,2
書式設定,フォントサイズを小さく,Ctrl+Shift+<,2
書式設定,中央揃え,Ctrl+E,2
書式設定,左揃え,Ctrl+L,1
書式設定,右揃え,Ctrl+R,2
書式設定,両端揃え,Ctrl+J,2
書式設定,書式のコピー/貼り付け,Ctrl+Shift+C,3
段落・リスト,インデントを増やす,Tab,1
段落・リスト,インデントを減らす,Shift+Tab,1
段落・リスト,行間を1行に設定,Ctrl+1,2
段落・リスト,行間を2行に設定,Ctrl+2,2
段落・リスト,行間を1.5行に設定,Ctrl+5,2
ナビゲーション,文書の先頭に移動,Ctrl+Home,1
ナビゲーション,文書の末尾に移動,Ctrl+End,1
ナビゲーション,1単語右に移動,Ctrl+ArrowRight,2
ナビゲーション,1単語左に移動,Ctrl+ArrowLeft,2
ナビゲーション,1段落上に移動,Ctrl+ArrowUp,2
ナビゲーション,1段落下に移動,Ctrl+ArrowDown,2
ナビゲーション,ジャンプ（ページ・行指定）,Ctrl+G,2
選択,1単語ずつ選択（右）,Ctrl+Shift+ArrowRight,2
選択,1単語ずつ選択（左）,Ctrl+Shift+ArrowLeft,2
選択,行の先頭まで選択,Shift+Home,2
選択,行の末尾まで選択,Shift+End,2
選択,文書の先頭まで選択,Ctrl+Shift+Home,3
選択,文書の末尾まで選択,Ctrl+Shift+End,3
その他,ハイパーリンクの挿入,Ctrl+K,2
その他,文字数カウント,Ctrl+Shift+G,3
その他,スペルチェック,F7,2
その他,改ページの挿入,Ctrl+Enter,2
